Age Groups,فئات السن,Highest Educational Level, أعلى مؤهل علمي ,Nationality,الجنسية,Sex,الجنس,Population
60 - 64,60 - 64,Bachelor,بكالوريوس,Bahraini,بحريني,Male,ذكر,1548
15 - 19,15 - 19,High Diploma,دبلوم عالي,Bahraini,بحريني,Male,ذكر,0
40 - 44,40 - 44,High Diploma,دبلوم عالي,Bahraini,بحريني,Male,ذكر,588
50 - 54,50 - 54,High Diploma,دبلوم عالي,Bahraini,بحريني,Male,ذكر,372
40 - 44,40 - 44,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,754
50 - 54,50 - 54,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,420
55 - 59,55 - 59,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,406
65 Years & Above,65 سنة فأكثر,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,396
15 - 19,15 - 19,Doctorate,دكتوراه,Bahraini,بحريني,Male,ذكر,0
20 - 24,20 - 24,Doctorate,دكتوراه,Bahraini,بحريني,Male,ذكر,3
25 - 29,25 - 29,Doctorate,دكتوراه,Bahraini,بحريني,Male,ذكر,10
40 - 44,40 - 44,Doctorate,دكتوراه,Bahraini,بحريني,Male,ذكر,84
50 - 54,50 - 54,Doctorate,دكتوراه,Bahraini,بحريني,Male,ذكر,87
50 - 54,50 - 54,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Female,أنثى,602
65 Years & Above,65 سنة فأكثر,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Female,أنثى,6912
15 - 19,15 - 19,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Female,أنثى,310
20 - 24,20 - 24,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Female,أنثى,673
45 - 49,45 - 49,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Female,أنثى,1113
60 - 64,60 - 64,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Female,أنثى,2685
20 - 24,20 - 24,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,801
25 - 29,25 - 29,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,774
40 - 44,40 - 44,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,854
45 - 49,45 - 49,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,864
50 - 54,50 - 54,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,1000
55 - 59,55 - 59,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,1223
15 - 19,15 - 19,Preparatory,إعدادي,Bahraini,بحريني,Female,أنثى,20481
20 - 24,20 - 24,Preparatory,إعدادي,Bahraini,بحريني,Female,أنثى,1993
25 - 29,25 - 29,Preparatory,إعدادي,Bahraini,بحريني,Female,أنثى,2876
30 - 34,30 - 34,Preparatory,إعدادي,Bahraini,بحريني,Female,أنثى,2658
45 - 49,45 - 49,Preparatory,إعدادي,Bahraini,بحريني,Female,أنثى,2036
55 - 59,55 - 59,Preparatory,إعدادي,Bahraini,بحريني,Female,أنثى,1591
25 - 29,25 - 29,Secondary,ثانوي,Bahraini,بحريني,Female,أنثى,8821
45 - 49,45 - 49,Secondary,ثانوي,Bahraini,بحريني,Female,أنثى,7334
60 - 64,60 - 64,Secondary,ثانوي,Bahraini,بحريني,Female,أنثى,5302
30 - 34,30 - 34,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,2913
45 - 49,45 - 49,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,742
60 - 64,60 - 64,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,207
65 Years & Above,65 سنة فأكثر,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,82
20 - 24,20 - 24,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,10108
60 - 64,60 - 64,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,1207
15 - 19,15 - 19,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,0
20 - 24,20 - 24,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,58
25 - 29,25 - 29,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,384
45 - 49,45 - 49,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,480
50 - 54,50 - 54,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,356
55 - 59,55 - 59,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,361
15 - 19,15 - 19,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,0
35 - 39,35 - 39,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,911
40 - 44,40 - 44,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,765
35 - 39,35 - 39,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,52
